@relation pendigits-weka.filters.unsupervised.instance.ClassRemover-Clast-N2-H

@attribute input1 numeric
@attribute input2 numeric
@attribute input3 numeric
@attribute input4 numeric
@attribute input5 numeric
@attribute input6 numeric
@attribute input7 numeric
@attribute input8 numeric
@attribute input9 numeric
@attribute input10 numeric
@attribute input11 numeric
@attribute input12 numeric
@attribute input13 numeric
@attribute input14 numeric
@attribute input15 numeric
@attribute input16 numeric
@attribute class {2,4}

@data
52,100,26,68,0,36,52,36,100,40,84,69,62,35,48,0,4
34,100,5,59,0,46,100,47,94,81,64,86,62,43,50,0,4
48,62,60,100,61,56,37,19,0,0,20,13,60,8,100,1,2
25,67,41,100,80,91,61,53,24,26,0,15,49,6,100,0,2
13,83,52,100,75,78,44,48,4,22,0,0,54,1,100,6,2
16,100,0,65,43,57,100,70,99,87,97,76,84,38,73,0,4
25,100,5,70,0,40,72,44,100,57,70,64,72,32,60,0,4
22,100,52,98,58,62,32,33,0,13,27,9,63,5,100,0,2
56,100,9,63,0,45,76,50,100,73,59,97,35,48,10,0,4
0,85,27,100,54,85,44,55,22,29,33,7,66,2,100,0,2
0,66,12,98,45,100,70,79,45,49,35,15,66,0,100,1,2
52,69,61,100,100,93,77,60,42,31,0,3,26,0,97,1,2
0,100,15,87,8,66,20,46,66,50,77,40,87,20,100,0,4
16,89,16,100,0,70,15,42,81,51,100,61,84,30,75,0,4
32,86,72,100,74,71,44,44,3,22,0,18,54,18,100,0,2
95,96,56,84,0,47,57,39,100,55,93,100,86,48,81,0,4
85,100,32,76,0,44,74,48,100,66,76,92,72,44,67,0,4
29,100,11,85,0,65,3,45,46,39,83,39,84,19,100,0,4
54,69,78,100,70,55,39,18,0,0,16,23,58,18,100,10,2
0,79,31,100,64,88,49,58,24,30,10,1,56,0,100,10,2
0,99,42,100,23,75,2,50,23,27,93,43,81,25,100,0,4
25,100,8,84,0,63,0,44,33,30,83,34,87,18,100,0,4
49,100,17,82,0,61,0,40,49,38,100,42,88,21,84,0,4
16,73,38,100,60,76,40,43,7,16,0,9,50,0,100,1,2
57,100,25,75,0,52,85,53,100,73,65,85,31,43,2,0,4
32,100,32,79,0,48,25,28,96,34,100,64,77,34,77,0,4
0,78,25,100,58,77,46,37,10,12,19,24,62,9,100,0,2
0,82,23,98,65,100,75,72,53,43,28,16,58,2,100,0,2
22,100,3,94,0,51,49,44,100,61,64,86,64,43,60,0,4
16,67,30,100,76,97,71,57,41,23,0,0,50,3,100,1,2
36,100,2,70,0,43,53,42,100,43,68,70,45,35,22,0,4
0,80,22,100,43,71,36,37,9,8,7,12,54,16,100,0,2
12,54,30,100,62,87,43,39,3,7,0,1,50,0,100,4,2
48,100,24,62,0,35,93,33,100,67,74,77,63,39,56,0,4
32,71,54,100,82,77,62,43,24,17,0,8,50,6,100,0,2
34,74,75,100,100,69,76,27,34,0,0,10,49,15,100,5,2
92,100,49,88,8,59,56,45,100,69,82,56,39,29,0,0,4
16,88,47,100,50,69,28,38,0,13,23,1,62,1,100,0,2
47,100,38,94,12,68,0,42,48,39,100,52,80,26,83,0,4
5,96,37,100,66,76,42,45,4,22,0,3,50,1,100,0,2
0,90,43,100,89,87,75,59,44,36,9,14,48,5,100,0,2
12,66,51,92,100,100,74,70,36,42,0,15,35,0,100,9,2
0,64,16,100,57,94,37,53,0,22,5,18,52,8,100,0,2
41,100,20,80,0,57,39,42,100,55,98,45,72,23,57,0,4
55,95,0,73,5,37,90,36,100,75,84,100,76,50,65,0,4
0,87,35,100,71,87,61,53,33,28,21,3,60,0,100,0,2
0,76,30,100,82,97,100,71,80,44,47,20,40,0,98,0,2
25,100,0,75,9,50,77,49,100,72,77,53,67,26,65,0,4
30,100,11,73,0,44,75,44,100,63,97,61,84,30,79,0,4
8,83,32,100,54,73,32,43,0,21,18,6,59,4,100,0,2
19,100,36,96,34,58,13,28,0,12,34,5,67,0,100,4,2
52,100,33,80,0,57,32,42,82,43,100,50,69,26,43,0,4
9,100,4,81,0,54,35,39,84,46,100,52,80,26,77,0,4
13,100,11,83,0,59,28,40,92,46,96,48,91,23,100,0,4
9,86,48,100,68,76,59,46,33,21,0,0,49,3,100,6,2
2,100,12,84,0,57,29,37,82,48,100,52,76,27,62,0,4
35,100,32,97,0,73,4,46,51,42,100,48,88,29,72,0,4
63,100,17,67,0,29,58,24,100,35,86,88,82,53,78,0,4
20,100,7,78,0,44,32,24,89,29,100,55,76,31,55,0,4
19,100,0,71,10,43,53,34,93,43,100,55,80,27,59,0,4
14,76,43,100,72,79,46,45,12,15,0,0,50,4,100,7,2
11,71,16,100,53,79,44,41,9,14,0,6,50,3,100,0,2
14,88,62,100,97,86,70,62,34,42,0,20,45,6,100,0,2
56,100,20,79,0,45,29,18,74,27,100,61,76,35,60,0,4
5,100,31,93,0,63,52,50,100,72,62,61,31,31,1,0,4
29,66,53,100,92,91,81,52,50,18,0,0,42,6,100,6,2
0,100,1,77,25,58,66,56,100,69,92,48,90,24,94,0,4
29,81,60,100,90,81,68,52,34,27,0,4,47,0,100,1,2
22,90,67,100,87,80,61,57,30,34,0,12,41,0,100,1,2
8,72,41,100,70,72,47,35,9,7,0,6,50,9,100,0,2
15,73,39,100,93,95,81,62,43,34,0,10,39,0,100,4,2
56,100,29,74,0,40,51,38,100,44,77,73,58,36,35,0,4
14,63,19,100,63,96,60,57,27,26,0,0,50,6,100,12,2
90,100,43,79,0,56,51,58,100,69,97,61,79,28,60,0,4
17,83,57,100,87,83,61,58,27,36,0,13,51,8,100,0,2
0,86,35,100,66,81,66,55,51,30,26,8,49,0,100,1,2
43,100,10,75,0,45,46,34,100,35,93,60,88,29,78,0,4
2,100,5,75,0,47,22,27,98,30,100,47,71,27,78,0,4
0,79,27,99,66,100,81,75,58,49,34,22,61,4,100,0,2
63,100,35,70,0,41,36,35,100,40,96,56,73,34,59,0,4
9,100,0,81,0,58,14,35,62,33,79,44,81,21,100,0,4
79,100,50,63,0,34,15,35,93,36,100,71,64,37,43,0,4
23,80,14,80,77,100,100,70,66,39,0,19,23,12,97,0,2
10,55,33,86,95,100,88,70,48,43,0,18,28,0,100,2,2
0,66,20,100,56,88,44,47,14,15,13,0,56,5,100,11,2
40,80,63,100,100,91,84,67,52,46,18,28,0,6,47,0,2
5,68,23,100,63,78,55,32,14,4,0,15,50,10,100,0,2
31,100,5,81,0,59,27,41,72,41,100,43,81,22,69,0,4
10,60,31,100,61,82,37,36,2,0,0,0,50,2,100,3,2
14,78,44,100,63,79,41,52,13,29,0,2,50,0,100,8,2
65,89,61,100,16,73,0,47,65,40,100,59,61,30,28,0,4
65,100,19,69,22,53,95,56,100,72,48,94,26,46,0,0,4
0,83,43,100,89,85,75,57,42,32,0,11,35,0,100,0,2
66,100,43,66,0,37,33,39,100,42,78,68,51,35,39,0,4
47,72,69,100,100,83,83,46,47,17,0,0,40,7,94,4,2
12,87,58,100,77,74,43,45,5,20,0,3,55,1,100,0,2
57,56,37,92,88,100,94,63,51,34,0,12,41,4,100,0,2
5,68,22,100,47,75,35,35,8,1,0,2,50,4,100,0,2
0,91,32,100,49,77,39,50,21,25,20,5,60,3,100,0,2
50,100,7,82,0,54,57,42,100,57,74,55,48,28,39,0,4
27,76,62,100,84,76,66,41,37,11,0,3,50,1,100,0,2
0,86,27,100,46,77,43,45,31,16,34,0,66,1,100,2,2
43,81,72,100,100,78,77,49,41,25,0,5,39,0,93,2,2
0,78,38,100,100,96,93,69,57,45,15,21,18,3,85,0,2
69,100,39,63,0,29,35,35,100,34,98,65,79,41,73,0,4
16,72,40,100,94,95,84,64,47,37,0,14,31,1,100,0,2
18,100,13,78,0,46,57,37,100,50,85,66,83,33,84,0,4
18,100,16,90,0,63,28,44,88,52,100,53,89,27,88,0,4
20,100,5,78,0,55,64,63,100,83,81,55,61,25,45,0,4
79,100,31,77,0,51,68,43,100,68,76,53,41,27,14,0,4
38,100,23,84,6,59,0,35,45,21,100,35,85,24,98,0,4
72,100,51,87,0,56,66,48,100,62,75,84,47,42,19,0,4
45,85,75,100,70,63,43,29,5,4,0,1,50,0,100,0,2
45,100,34,78,0,51,37,50,95,51,100,62,73,32,57,0,4
38,100,40,90,0,63,36,46,93,47,100,59,63,31,40,0,4
44,85,76,100,79,70,54,41,23,16,0,0,50,5,100,1,2
75,100,41,69,0,39,45,30,100,37,92,65,55,33,23,0,4
48,100,31,64,3,31,0,21,62,16,100,35,93,37,89,0,4
21,74,30,100,72,77,66,36,31,2,0,14,52,24,100,0,2
35,98,60,100,47,63,25,30,0,4,34,2,68,0,100,3,2
27,90,64,100,67,70,37,43,0,22,12,18,64,19,100,0,2
31,65,0,88,40,100,68,72,56,32,28,0,57,1,100,6,2
7,100,28,96,18,61,0,27,50,24,85,35,85,33,100,0,4
39,100,29,92,0,58,2,34,61,37,100,60,82,36,78,0,4
75,100,13,74,6,52,100,50,93,82,68,72,37,36,0,0,4
71,99,55,100,0,72,29,56,100,70,73,66,35,33,6,0,4
63,100,53,74,0,49,65,48,100,56,88,62,71,26,69,0,4
64,100,29,84,0,56,38,38,100,48,94,53,57,26,24,0,4
0,73,26,100,56,72,40,31,3,10,19,22,63,13,100,0,2
41,90,62,100,29,74,2,47,0,22,64,33,100,28,88,0,4
63,100,31,66,0,31,28,22,94,30,100,68,82,38,81,0,4
0,65,24,98,63,100,55,61,26,29,19,0,59,1,100,6,2
40,71,60,100,100,85,78,46,37,20,0,4,49,3,99,0,2
12,100,0,75,11,44,98,39,100,56,68,68,58,32,60,0,4
30,69,38,100,82,88,76,53,43,24,0,0,43,6,100,6,2
37,85,74,100,73,68,49,38,19,10,0,4,51,10,100,0,2
18,59,41,100,76,81,54,35,15,0,0,14,49,14,100,1,2
17,59,32,100,57,82,32,39,0,5,19,0,59,7,100,14,2
0,81,27,100,58,90,45,58,25,30,23,0,61,2,100,6,2
18,66,34,100,76,84,51,50,0,26,12,26,58,0,100,20,2
0,93,41,100,61,77,34,52,0,30,4,10,51,3,100,0,2
59,71,62,100,90,79,67,43,28,16,0,22,50,16,100,0,2
28,100,15,65,0,29,40,20,100,17,99,36,67,36,59,0,4
6,100,4,95,0,71,2,47,45,30,100,44,78,24,82,0,4
64,100,26,75,0,51,68,52,100,72,74,56,48,28,23,0,4
10,58,26,99,67,100,59,57,29,22,0,0,50,7,100,0,2
38,100,14,71,0,42,54,51,100,58,64,70,49,35,45,0,4
14,65,35,100,64,79,48,41,16,11,0,8,50,9,100,0,2
20,92,22,100,0,63,41,40,100,41,95,74,69,39,57,0,4
64,100,36,67,0,37,30,32,91,37,100,54,80,36,70,0,4
57,70,57,100,55,66,33,36,0,16,23,9,60,0,100,3,2
18,100,23,73,0,41,17,17,83,18,100,43,84,35,76,0,4
27,100,28,96,0,64,3,37,88,43,100,68,94,33,100,0,4
21,77,54,100,57,70,31,37,0,11,17,3,58,1,100,0,2
0,80,25,100,61,89,51,57,28,28,0,2,50,0,100,1,2
12,78,50,100,79,77,44,46,1,23,0,13,53,7,100,0,2
23,100,14,76,11,41,94,35,100,51,52,71,24,35,0,0,4
32,100,19,74,0,42,44,31,100,44,93,66,85,33,81,0,4
24,100,0,69,8,35,55,34,100,40,95,79,90,39,80,0,4
15,100,0,76,8,50,62,47,100,62,82,57,82,28,85,0,4
0,100,5,86,2,66,3,45,38,34,68,39,81,19,100,0,4
45,100,2,72,0,49,81,55,100,79,88,66,59,33,33,0,4
36,77,55,100,53,57,34,19,0,0,23,19,62,14,100,4,2
24,100,0,81,19,52,82,49,100,77,80,66,67,33,59,0,4
49,73,69,100,100,77,82,40,47,11,0,0,43,11,95,11,2
42,94,0,60,23,30,86,30,100,61,70,100,69,50,71,0,4
13,100,10,79,0,48,4,19,75,22,87,49,89,29,100,0,4
32,53,41,90,100,100,94,60,56,25,0,0,30,9,99,11,2
0,92,44,100,88,91,82,66,55,44,26,23,51,6,100,0,2
51,100,29,82,10,60,0,35,27,20,69,22,100,25,100,0,4
7,80,21,100,34,72,18,41,0,12,30,1,65,0,100,2,2
5,78,30,100,50,72,30,38,0,13,25,2,62,0,100,5,2
43,75,71,100,38,68,0,37,60,32,100,51,82,34,54,0,4
42,100,22,65,0,40,91,40,100,64,88,72,91,36,93,0,4
28,100,0,73,16,49,75,47,100,63,94,59,93,29,83,0,4
0,85,32,100,65,88,49,52,21,24,30,6,65,4,100,0,2
50,100,26,84,0,60,6,36,58,35,100,50,78,26,63,0,4
40,100,11,87,0,57,11,29,66,40,100,58,82,29,78,0,4
72,77,97,100,100,73,74,42,40,16,0,0,36,6,82,4,2
55,100,7,74,0,51,72,52,100,75,77,66,48,33,23,0,4
14,100,14,87,0,59,11,35,100,40,97,54,83,27,100,0,4
36,70,42,100,69,70,55,32,19,3,0,8,50,9,100,0,2
68,100,34,88,0,62,6,42,70,49,100,51,62,27,42,0,4
60,100,25,75,0,48,27,26,100,28,84,55,69,28,52,0,4
0,74,14,100,53,98,43,65,18,38,20,8,59,0,100,6,2
61,79,90,100,100,78,76,54,42,32,7,13,0,0,49,3,2
50,81,74,100,100,75,75,43,36,20,0,28,47,23,84,0,2
45,92,37,100,76,99,63,47,30,5,0,0,50,8,100,2,2
50,100,42,78,0,52,24,38,83,35,100,64,69,32,41,0,4
35,100,17,68,0,36,50,37,100,36,81,58,62,35,56,0,4
55,100,7,78,0,47,83,43,100,77,84,64,48,32,13,0,4
32,100,0,79,16,51,77,49,100,80,70,62,45,32,26,0,4
0,78,29,100,69,87,62,57,34,32,2,8,48,1,100,0,2
100,100,56,65,0,36,3,34,80,33,99,54,68,38,36,0,4
74,100,46,72,8,49,0,38,52,34,100,41,96,32,96,0,4
19,100,0,73,9,46,72,47,100,61,82,69,75,34,60,0,4
20,100,0,79,0,45,61,41,98,62,100,74,90,37,82,0,4
4,100,0,100,7,69,56,55,100,67,86,60,62,31,55,0,4
100,100,56,66,0,37,8,34,83,43,86,71,57,35,24,0,4
27,100,15,67,0,29,40,17,100,17,97,39,67,37,62,0,4
22,84,41,100,49,69,26,40,0,11,21,0,60,6,100,12,2
24,82,62,100,76,71,52,40,13,16,0,13,52,13,100,0,2
64,81,59,100,100,98,78,53,42,18,0,6,47,13,95,0,2
13,83,42,100,59,67,35,34,0,27,30,32,65,11,100,0,2
21,100,1,76,0,47,65,41,100,58,83,61,75,30,75,0,4
0,88,40,100,65,81,51,55,30,29,11,4,51,0,100,6,2
0,95,30,100,55,80,34,52,6,27,21,5,67,0,100,3,2
33,100,8,75,0,48,49,34,100,47,99,53,90,27,78,0,4
38,100,4,85,0,53,58,46,100,52,88,64,78,32,73,0,4
32,73,59,100,81,71,54,36,16,9,0,2,50,2,100,0,2
0,93,43,100,78,83,66,55,36,31,11,6,53,0,100,1,2
48,76,62,100,93,79,67,39,28,8,0,12,51,16,100,0,2
10,100,16,77,0,39,37,18,94,22,100,50,99,39,93,0,4
0,80,17,100,41,99,60,83,53,52,56,20,77,7,100,0,2
25,100,0,76,11,45,79,46,100,73,86,70,79,35,70,0,4
35,100,19,85,0,52,50,32,100,35,96,64,62,34,39,0,4
60,100,38,82,0,59,17,39,93,49,100,47,69,23,39,0,4
0,78,31,100,66,77,58,34,20,12,15,21,58,13,100,0,2
0,91,53,100,97,88,79,65,47,45,15,23,39,5,100,0,2
54,100,29,71,0,41,46,42,100,46,71,67,55,36,48,0,4
21,100,22,74,0,45,34,36,100,33,97,62,84,31,77,0,4
26,91,70,100,86,75,49,52,11,29,0,3,49,0,100,3,2
70,100,37,79,11,56,0,32,51,19,92,36,80,23,100,0,4
6,89,52,100,100,91,93,65,62,43,25,23,0,2,55,0,2
9,100,0,75,78,72,100,92,74,93,56,62,38,31,21,0,4
16,100,0,82,6,47,70,47,100,71,94,73,92,36,95,0,4
19,100,42,95,7,58,0,44,83,34,86,68,90,34,100,0,4
76,100,37,88,0,54,44,33,96,58,100,66,60,33,23,0,4
38,100,4,76,0,46,70,41,100,64,86,62,66,31,54,0,4
0,77,28,100,60,85,62,51,42,21,26,2,68,0,100,0,2
63,81,95,100,95,62,66,26,21,0,0,15,48,35,100,15,2
19,88,53,100,92,84,71,53,36,29,0,5,48,1,100,0,2
39,100,0,79,1,48,55,38,100,58,81,55,49,29,25,0,4
36,100,7,89,0,53,67,41,100,57,82,74,51,38,31,0,4
59,100,41,79,14,56,0,31,51,21,100,33,85,25,79,0,4
0,72,19,100,27,60,10,21,2,1,35,0,68,1,100,8,2
61,100,40,63,0,34,36,40,100,44,81,73,60,36,46,0,4
21,100,14,74,0,41,35,25,100,28,98,49,61,32,48,0,4
39,100,24,70,0,40,49,38,100,40,75,65,52,34,43,0,4
10,81,37,100,56,62,44,21,0,13,35,25,75,0,100,30,2
14,100,10,84,0,55,52,43,100,57,98,59,85,29,72,0,4
0,71,29,100,70,88,65,38,28,10,11,16,56,11,100,0,2
63,100,31,80,0,49,70,50,100,67,68,90,45,45,29,0,4
39,100,10,72,0,39,68,25,100,48,96,65,72,33,68,0,4
60,100,36,67,0,39,46,48,99,58,100,62,77,29,52,0,4
16,84,56,100,72,65,46,29,8,0,0,16,50,17,100,5,2
0,75,26,100,61,87,55,48,24,22,26,3,65,1,100,0,2
24,75,60,100,74,63,45,25,2,0,0,15,51,19,100,8,2
0,82,35,100,73,84,65,46,32,19,14,23,59,16,100,0,2
31,100,28,76,0,41,24,29,100,30,88,67,81,33,82,0,4
46,75,44,100,79,90,56,44,19,6,0,6,50,10,100,0,2
64,86,47,96,100,100,90,63,50,35,0,14,32,15,86,0,2
33,100,10,87,0,69,54,58,100,75,66,52,33,26,4,0,4
78,100,51,62,0,32,18,31,95,29,100,58,73,39,57,0,4
18,61,37,100,17,65,0,33,61,39,100,55,66,37,37,0,4
36,100,13,75,57,65,100,78,63,85,41,57,18,29,0,0,4
26,100,1,96,0,57,68,43,100,61,73,78,45,40,29,0,4
20,100,21,84,0,52,37,42,100,46,97,63,81,31,71,0,4
70,100,36,70,0,41,25,31,90,36,100,45,80,33,62,0,4
57,100,34,80,0,59,11,40,85,43,100,44,72,22,57,0,4
62,100,39,79,0,52,13,39,80,44,100,63,86,32,71,0,4
46,100,2,72,0,47,76,48,100,77,78,64,45,32,19,0,4
22,85,49,100,71,77,45,51,11,30,0,11,51,7,100,0,2
23,88,52,100,51,67,30,38,0,16,27,8,64,3,100,0,2
54,87,59,100,26,72,0,43,28,18,100,30,96,30,80,0,4
37,100,3,86,0,51,19,22,72,21,100,47,76,33,65,0,4
29,80,53,100,7,70,0,49,83,48,100,65,61,33,29,0,4
35,84,71,100,100,79,72,52,35,31,0,9,39,0,88,0,2
0,75,29,100,74,93,69,60,41,29,0,3,37,0,100,6,2
12,96,60,100,96,81,60,55,16,33,0,8,55,2,100,0,2
38,100,7,91,0,62,33,40,91,48,100,54,69,28,56,0,4
21,100,0,79,0,54,42,37,83,52,79,49,81,24,100,0,4
35,100,22,64,0,38,100,42,94,61,68,78,63,39,45,0,4
23,100,9,68,0,36,49,25,100,36,99,65,93,32,83,0,4
26,100,16,79,0,52,36,32,100,38,55,52,38,26,32,0,4
86,100,49,91,0,54,63,52,100,64,90,98,76,45,69,0,4
0,85,34,100,68,86,61,55,31,31,20,9,61,4,100,0,2
0,100,15,95,1,63,33,40,100,48,94,65,93,32,90,0,4
19,100,14,79,5,59,0,38,27,20,100,34,81,21,70,0,4
54,100,35,79,0,49,19,40,89,38,100,65,81,32,65,0,4
81,100,35,78,0,47,69,52,100,66,72,91,62,44,60,0,4
78,100,43,92,0,73,14,54,83,55,100,43,63,22,29,0,4
63,100,41,63,0,36,88,40,100,63,72,78,76,39,82,0,4
40,69,61,100,86,68,60,26,18,0,0,18,49,23,100,16,2
36,53,44,100,60,67,38,22,0,0,14,16,57,10,100,5,2
23,63,42,100,63,65,39,22,0,0,13,20,56,18,100,21,2
55,100,28,75,1,50,0,25,61,30,100,48,65,26,54,0,4
26,93,70,100,75,55,44,17,0,0,6,24,54,24,100,12,2
0,83,38,100,93,97,100,71,70,48,34,26,27,2,84,0,2
0,71,28,100,65,83,55,40,20,12,13,16,57,11,100,0,2
55,66,51,100,86,87,63,42,25,9,0,4,50,8,100,0,2
47,100,27,50,0,20,50,30,100,31,89,59,58,50,39,0,4
12,69,19,100,78,99,83,66,47,35,0,10,29,3,100,0,2
20,92,5,100,0,76,2,52,52,33,95,47,80,23,100,0,4
30,75,47,100,64,69,47,35,15,8,0,0,50,5,100,0,2
26,77,12,100,0,62,57,45,100,60,68,77,50,39,41,0,4
21,66,47,100,65,67,40,28,0,12,18,31,60,19,100,0,2
33,79,75,100,99,75,71,45,24,25,0,29,55,21,100,0,2
33,76,51,100,77,77,41,42,0,15,2,0,51,5,100,12,2
9,89,54,100,74,74,56,44,25,18,0,3,50,5,100,0,2
0,82,43,100,100,91,83,65,48,42,9,18,5,0,72,4,2
38,100,16,68,0,36,51,30,100,34,90,62,63,31,41,0,4
9,88,46,100,60,78,31,55,0,34,10,13,56,7,100,0,2
52,100,25,67,0,33,46,28,100,33,99,65,73,35,53,0,4
71,100,40,85,0,63,19,42,88,45,100,52,80,26,69,0,4
0,70,8,100,56,91,69,50,38,15,10,10,58,0,100,15,2
43,80,46,100,83,79,61,39,20,12,0,14,51,16,100,0,2
0,93,52,100,94,87,80,63,53,42,23,20,42,3,100,0,2
0,81,34,100,68,83,56,52,24,29,16,20,64,17,100,0,2
90,100,50,82,0,45,70,46,100,65,83,91,77,43,75,0,4
0,83,26,100,53,84,42,50,16,24,27,5,66,0,100,7,2
13,78,38,100,41,68,24,36,0,10,33,3,68,0,100,3,2
32,63,52,100,86,69,70,24,24,0,0,4,53,2,100,1,2
53,100,0,75,7,43,100,52,50,76,16,91,14,44,28,0,4
0,62,22,89,69,100,86,77,59,50,28,26,47,4,100,0,2
85,100,38,76,0,42,82,41,100,61,78,95,75,47,71,0,4
51,100,0,69,16,52,84,58,100,74,61,83,40,41,16,0,4
51,100,35,74,10,49,0,22,54,12,100,32,90,25,69,0,4
22,100,20,75,0,40,0,25,67,30,100,39,84,36,79,0,4
0,80,34,100,60,80,34,53,1,29,0,4,49,0,100,1,2
11,69,42,100,73,71,56,29,19,0,0,11,50,13,100,7,2
13,100,0,82,0,60,27,42,82,42,80,41,80,19,100,0,4
47,90,75,100,75,72,55,45,26,21,0,0,49,5,100,4,2
61,100,96,98,83,49,46,14,0,0,6,29,54,27,100,8,2
67,92,32,87,0,44,72,50,100,62,63,100,62,48,59,0,4
42,100,41,78,18,51,0,23,60,24,94,41,89,27,100,0,4
11,72,28,100,66,78,56,38,19,10,0,6,50,5,100,0,2
30,100,33,81,4,54,0,29,70,27,100,49,94,29,98,0,4
0,76,27,100,63,82,58,40,26,12,20,16,60,8,100,0,2
80,100,59,97,26,71,0,43,28,23,94,38,100,28,81,0,4
33,77,30,100,63,73,43,36,0,16,29,16,78,0,100,32,2
14,100,0,75,7,47,72,48,100,62,83,58,82,29,84,0,4
82,100,49,85,19,61,0,34,51,36,100,51,81,27,69,0,4
36,100,21,66,0,31,20,24,93,22,100,45,80,35,81,0,4
21,82,55,100,69,65,40,26,0,0,4,6,51,6,100,5,2
0,83,30,100,78,96,100,74,70,51,37,30,35,7,83,0,2
86,100,32,81,0,57,30,37,100,51,86,46,41,23,11,0,4
26,56,39,100,57,74,35,29,0,0,15,26,56,7,100,5,2
51,71,53,100,87,83,69,43,34,11,0,6,50,14,100,0,2
20,100,34,93,0,53,4,38,88,50,100,72,99,30,96,0,4
13,78,35,100,83,96,63,66,27,42,0,13,43,0,100,1,2
0,79,25,100,51,80,53,46,37,15,30,0,65,3,100,1,2
13,71,30,100,60,79,40,42,6,13,0,9,51,11,100,0,2
33,100,0,79,11,48,81,49,100,81,80,66,62,33,45,0,4
0,95,27,100,32,63,15,31,11,10,41,7,70,3,100,0,2
24,100,12,89,0,55,28,39,73,53,100,61,74,32,58,0,4
74,100,38,79,0,49,53,53,100,62,73,84,56,42,42,0,4
38,68,56,100,54,50,32,8,0,0,28,16,63,2,100,8,2
12,100,3,86,0,61,35,54,72,54,100,53,90,27,88,0,4
16,100,24,89,9,55,0,21,63,19,97,42,95,27,100,0,4
54,100,20,72,0,40,56,35,100,45,72,65,44,34,31,0,4
40,100,7,86,0,63,14,41,81,37,91,45,84,22,100,0,4
29,100,18,72,0,44,54,34,100,41,59,57,46,29,38,0,4
15,63,36,100,68,70,50,24,8,0,0,6,50,5,100,4,2
51,100,21,73,0,43,48,40,93,52,100,59,76,30,56,0,4
0,79,28,100,54,90,46,62,28,36,18,9,52,0,100,5,2
34,100,24,70,0,41,27,26,86,27,100,51,98,31,97,0,4
0,81,34,100,77,92,73,61,46,34,17,8,52,0,100,3,2
56,100,29,73,0,41,30,35,100,34,95,65,78,31,80,0,4
0,100,17,100,10,74,4,48,42,29,100,44,81,25,98,0,4
7,57,15,93,65,100,67,63,44,27,0,0,36,11,100,11,2
0,73,26,100,66,97,62,63,37,33,12,6,58,0,100,2,2
42,100,34,75,0,48,3,42,58,38,100,53,85,33,71,0,4
44,100,0,79,0,49,61,40,100,64,92,61,62,31,34,0,4
8,84,37,100,54,72,32,42,0,18,15,10,58,5,100,0,2
7,83,46,100,59,70,39,39,5,13,0,16,53,15,100,0,2
25,100,0,84,16,63,77,67,100,66,76,45,53,22,34,0,4
28,100,22,73,0,41,16,22,78,25,98,50,93,24,100,0,4
56,100,14,75,0,42,57,28,98,53,100,65,73,34,71,0,4
41,100,0,84,16,56,95,55,100,86,70,64,51,32,42,0,4
0,65,13,100,55,87,48,42,15,9,1,17,51,12,100,0,2
14,100,6,77,0,47,79,50,100,63,73,62,76,31,77,0,4
0,75,22,100,58,86,56,50,29,22,14,1,58,0,100,4,2
57,100,34,71,0,45,7,41,61,41,100,56,80,32,70,0,4
2,79,48,100,81,75,59,33,22,0,0,3,49,13,100,6,2
26,64,34,100,65,77,43,36,1,11,0,8,50,4,100,0,2
39,100,10,74,0,41,60,38,100,49,85,63,60,32,43,0,4
11,78,35,100,52,73,31,43,0,20,20,9,60,4,100,0,2
0,75,20,97,53,100,71,77,49,46,35,14,66,2,100,0,2
37,67,40,100,85,100,74,60,43,25,0,0,46,9,100,9,2
6,100,2,97,0,69,15,42,59,39,100,51,84,27,76,0,4
94,100,53,75,11,52,0,41,52,38,99,43,100,38,91,0,4
23,79,37,100,56,68,42,32,0,14,36,12,83,0,100,33,2
55,95,78,100,71,60,41,27,0,0,1,26,52,21,100,4,2
0,80,22,100,24,66,7,34,0,14,34,9,69,4,100,0,2
16,100,0,72,17,48,61,46,100,48,93,58,81,29,71,0,4
11,77,33,100,50,79,27,52,0,28,11,7,55,3,100,0,2
88,100,58,71,26,45,0,35,56,34,100,46,97,32,88,0,4
38,100,0,74,20,48,99,45,100,65,75,63,58,31,43,0,4
52,100,22,69,0,36,49,27,100,30,89,56,62,35,43,0,4
14,74,36,100,77,93,53,58,18,29,0,15,50,9,100,0,2
46,100,31,95,8,69,0,41,56,39,100,50,65,26,54,0,4
45,100,20,79,0,55,23,35,100,36,92,48,77,24,70,0,4
100,100,72,79,38,51,0,26,44,32,90,39,88,37,82,0,4
63,100,33,73,0,46,41,42,100,44,72,65,64,32,49,0,4
18,100,22,79,0,47,28,35,94,35,98,64,100,34,91,0,4
60,74,89,100,96,78,68,50,34,24,0,2,51,7,100,0,2
54,74,72,100,76,70,57,38,26,9,0,3,50,0,100,1,2
27,100,3,76,0,46,69,43,100,64,90,64,85,32,87,0,4
8,66,9,100,45,88,37,49,0,22,20,22,66,0,100,25,2
32,100,20,69,0,34,36,29,92,36,100,51,66,36,58,0,4
0,79,25,100,49,80,27,48,0,19,24,1,62,0,100,2,2
53,100,33,77,0,55,19,35,87,41,100,46,65,24,47,0,4
25,100,7,82,0,46,56,28,100,55,99,73,75,37,66,0,4
8,91,63,100,100,82,79,55,42,31,0,11,37,1,100,0,2
